sequence_id	detector	detector_version	detector_label	bgc_candidate_id	nucl_start	nucl_end	nucl_length	num_proteins	num_domains	num_bio_domains	deepbgc_score	product_activity	antibacterial	cytotoxic	inhibitor	antifungal	product_class	Alkaloid	NRP	Other	Polyketide	RiPP	Saccharide	Terpene	protein_ids	bio_pfam_ids	pfam_ids
U00096.3	deepbgc	0.1.0	deepbgc	U00096.3_590940-631999.1	590940	631999	41059	33	77	9	0.79865		0.47	0.19	0.07	0.21	NRP	0.00	0.66	0.13	0.13	0.03	0.11	0.01	U00096.3_554;U00096.3_555;U00096.3_556;U00096.3_557;U00096.3_558;U00096.3_559;U00096.3_560;U00096.3_561;U00096.3_562;U00096.3_563;U00096.3_564;U00096.3_565;U00096.3_566;U00096.3_567;U00096.3_568;U00096.3_569;U00096.3_570;U00096.3_571;U00096.3_572;U00096.3_573;U00096.3_574;U00096.3_575;U00096.3_576;U00096.3_577;U00096.3_578;U00096.3_579;U00096.3_580;U00096.3_581;U00096.3_582;U00096.3_583;U00096.3_584;U00096.3_585;U00096.3_586	PF00106;PF00668;PF00975;PF03061;PF01370;PF02706;PF00501;PF08659;PF00857	PF05157;PF13632;PF13641;PF02518;PF14501;PF00512;PF00672;PF00486;PF00072;PF02321;PF11604;PF00529;PF16576;PF16572;PF13437;PF00873;PF03176;PF00324;PF13520;PF03845;PF00924;PF00881;PF14512;PF04237;PF06643;PF04107;PF04262;PF01848;PF01609;PF01648;PF00593;PF14905;PF07715;PF11806;PF00756;PF00326;PF03621;PF00668;PF00501;PF13193;PF00550;PF00975;PF02706;PF13807;PF01936;PF02463;PF00005;PF13191;PF13521;PF13401;PF01078;PF13238;PF13481;PF13555;PF13175;PF13514;PF03193;PF13304;PF13476;PF01032;PF01032;PF05977;PF07690;PF01497;PF00425;PF00501;PF13193;PF00857;PF00550;PF00106;PF01370;PF13561;PF04127;PF08659;PF03061;PF02554;PF13722
U00096.3	deepbgc	0.1.0	deepbgc	U00096.3_736444-736699.1	736444	736699	255	1	1	0	0.56012	antibacterial	0.86	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	U00096.3_683		PF13808
U00096.3	deepbgc	0.1.0	deepbgc	U00096.3_811521-812947.1	811521	812947	1426	2	11	2	0.71960		0.36	0.46	0.20	0.03		0.03	0.03	0.34	0.03	0.22	0.02	0.33	U00096.3_750;U00096.3_751	PF08241;PF08242	PF13489;PF05148;PF05175;PF01209;PF13847;PF13649;PF08241;PF08242;PF13500;PF07755;PF01656
U00096.3	deepbgc	0.1.0	deepbgc	U00096.3_973536-976326.1	973536	976326	2790	3	18	2	0.70014		0.35	0.46	0.24	0.01		0.05	0.03	0.36	0.06	0.11	0.00	0.39	U00096.3_893;U00096.3_894;U00096.3_895	PF08241;PF08242	PF01209;PF13489;PF05724;PF12847;PF05175;PF13679;PF05219;PF13847;PF02353;PF09445;PF13649;PF08241;PF08242;PF13578;PF03882;PF17192;PF17193;PF04288
U00096.3	deepbgc	0.1.0	deepbgc	U00096.3_1070964-1071765.1	1070964	1071765	801	1	5	2	0.61901	antibacterial	0.56	0.07	0.06	0.46		0.00	0.40	0.15	0.39	0.02	0.02	0.03	U00096.3_981	PF00561;PF00975	PF12697;PF12146;PF03096;PF00561;PF00975
U00096.3	deepbgc	0.1.0	deepbgc	U00096.3_1072170-1074880.1	1072170	1074880	2710	3	4	1	0.57506	antibacterial	0.60	0.08	0.12	0.21		0.00	0.07	0.40	0.19	0.17	0.01	0.19	U00096.3_983;U00096.3_984;U00096.3_985	PF00857	PF00857;PF00296;PF00440;PF08362
U00096.3	deepbgc	0.1.0	deepbgc	U00096.3_1095842-1098824.1	1095842	1098824	2982	2	3	0	0.55225	antibacterial	0.87	0.05	0.16	0.25		0.00	0.09	0.11	0.28	0.23	0.04	0.28	U00096.3_1002;U00096.3_1003		PF05969;PF02826;PF03446
U00096.3	deepbgc	0.1.0	deepbgc	U00096.3_1099639-1105293.1	1099639	1105293	5654	9	10	0	0.58940	antibacterial	0.79	0.06	0.12	0.21		0.00	0.09	0.06	0.34	0.27	0.02	0.26	U00096.3_1005;U00096.3_1006;U00096.3_1007;U00096.3_1008;U00096.3_1009;U00096.3_1010;U00096.3_1011;U00096.3_1012;U00096.3_1013		PF02613;PF06496;PF03783;PF10614;PF10627;PF00196;PF08281;PF07012;PF07012;PF10610
U00096.3	deepbgc	0.1.0	deepbgc	U00096.3_1109367-1110870.1	1109367	1110870	1503	1	1	0	0.50169	antibacterial	0.87	0.06	0.17	0.26		0.00	0.09	0.07	0.33	0.21	0.03	0.32	U00096.3_1018		PF04349
U00096.3	deepbgc	0.1.0	deepbgc	U00096.3_1119306-1120955.1	1119306	1120955	1649	3	6	2	0.55886	antibacterial	0.53	0.15	0.16	0.19		0.03	0.05	0.31	0.16	0.08	0.13	0.39	U00096.3_1027;U00096.3_1028;U00096.3_1029	PF01266;PF01593	PF10968;PF01266;PF13738;PF07992;PF01593;PF13991
